id,nombre,categoria,tipo,referencia,precio,,coste,activo
447,RECUBR.ANTICORR.COVERCRLYL3.7k,81,product,0718-0004,385.6,19.28,366.32,True
448,RECUBRIM.ANT-PIEDRA.650ML 8949,81,product,0719-0002,356.96,17.848,339.112,True
449,RECUBRIM.ATICORRORR.710ML 8883,81,product,0718-0006,213.53,10.6765,202.8535,True
450,RECUBRIM.AUTOMT.NGO.591ML 8881,81,product,0718-0007,97.8,4.89,92.91,True
451,RECUBRIMIENTO P/BATEAS  PN7277,81,product,0717-0002,2792.23,139.6115,2652.6185,True
452,RELLENADOR 3M F.DE VIDRIO 5816,81,product,0735-0032,864.99,43.2495,821.7405,True
453,RELLENADOR 3M LIGHT 754ml.5800,81,product,0735-0028,137,6.85,130.15,True
454,RELLENADOR 3M LIGHT GALON 5801,81,product,0735-0011,322.38,16.119,306.261,True
455,RELLENADOR 3M QUICK GRIP GAL.,81,product,0735-0035,264.61,13.2305,251.3795,True
456,RELLENADOR ACRIL.BCO.411g 5095,81,product,0735-0027,279.24,13.962,265.278,True
457,RELLENADOR ACRIL.RJO.411gr5099,81,product,0735-0029,226.99,11.3495,215.6405,True
458,RELLENADOR ACRIL.VDE.409G 5096,81,product,0735-0026,329.82,16.491,313.329,True
459,RELLENADOR ACRIL.VDE.595G 5960,81,product,0735-0015,232.45,11.6225,220.8275,True
460,RELLENADOR FIBRA VID.REF. 5815,81,product,0735-0016,282.02,14.101,267.919,True
461,RELLENADOR PLATINUM GALON 1171,81,product,0735-0030,381.76,19.088,362.672,True
462,RELLENADOR PLATINUM SEL. 31131,82,product,0735-0036,467.92,23.396,444.524,True
463,REMOV.DE MARCAS 30ml.DOYP.5993,81,product,0696-0005,23.02,1.151,21.869,True
464,REMOV.DE MARCAS C. 225ML 5994P,81,product,0696-0002,117.8,5.89,111.91,True
465,REMOV.DE MARCAS C. 473ml 39061,81,product,0696-0007,293.43,14.6715,278.7585,True
466,REMOV.DE MARCAS C. 473ml 39062,81,product,0696-0008,331.25,16.5625,314.6875,True
467,REMOV.DE MARCAS C. 946ML 06064,81,product,0696-0004,515.25,25.7625,489.4875,True
468,REMOV.DE MARCAS C.3.78L  06065,81,product,0696-0003,1680.62,84.031,1596.589,True
